Tipo_identificacao	email_usuario	nome_usuario	celular_numero	Tipo_reclamao	Local_reclamacao	Descricao_reclamacao	Denuncia_realizada_para	Status_reclamacao	Data_Criacao	Data_Resposta	Reclamacao_Origem	Violou_codigo_de_etica?	foi_apurado?	teve_veracidade?	Reclamação_procede?
identificado	teste@teste.com	Agatha	(11) 11111-1111	Agressão Física	Aracaju/SE	Quebrei o pé	Gestor	Apuração não iniciada	08/03/2022 14:13		integracao	N	N	N	Procedente
identificado	teste1@teste.com	Alice	(11) 11111-1112	Fraude	Campinas/SP	Houve a detecção de uma fraude	Gestor	Apuração não iniciada	08/08/2022 18:56		integracao	N	N	N	Procedente
anonima	teste12@teste.com	Alícia	(11) 11111-1113	Assédio Sexual	Goiânia/GO	Me importunaram sexualmente		Apuração Concluída	10/03/2022 10:11	10/03/2022 10:11	integracao	N	N	N	Improcedente
identificado	teste123@teste.com	Amanda	(11) 11111-1114	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	10/06/2022 12:19	10/06/2022 12:19	integracao	N	N	N	Improcedente
identificado	teste@teste.com	Ana Beatriz	(11) 11111-1115	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	10/13/2022 13:52	10/16/2022 13:52	integracao	N	N	N	Improcedente
identificado	teste1@teste.com	Ana Clara	(11) 11111-1116	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	10/13/2022 13:58	10/16/2022 13:52	integracao	N	N	N	Improcedente
identificado	teste12@teste.com	Ana Julia	(11) 11111-1117	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	10/13/2022 16:10	10/16/2022 13:52	integracao	N	N	S	Procedente
identificado	teste123@teste.com	Ana Luiza	(11) 11111-1118	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	10/13/2022 16:16	10/16/2022 13:52	integracao	N	N	S	Procedente
identificado	teste@teste.com	Antônio	(11) 11111-1119	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	10/13/2022 16:40	10/16/2022 13:52	integracao	N	N	S	Procedente
identificado	teste1@teste.com	Arthur	(11) 11111-1120	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	10/13/2022 17:01	10/16/2022 13:52	integracao	N	N	S	Procedente
identificado	teste12@teste.com	Beatriz	(11) 11111-1121	Postura Inadequada - Intimidação ou Ofensa	SAO PAULO/SP	A diretoria tomou uma postura inadequada	Gestor	Apuração Concluída	10/19/2022 10:50	10/20/2022 10:50	local	N	S	S	Procedente
identificado	teste123@teste.com	Benjamin	(11) 11111-1122	Desvio, Roubo ou Furto	SAO PAULO/SP	O Compliance teve ciência de um roubo	Gestor	Apuração Concluída	10/19/2022 11:25	10/20/2022 10:50	local	N	S	S	Procedente
identificado	teste@teste.com	Bernardo	(11) 11111-1123	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	10/19/2022 13:36	10/20/2022 10:50	integracao	N	N	S	Procedente
identificado	teste1@teste.com	Bianca	(11) 11111-1124	Não Conformidade (Procedimentos Internos)	São Paulo/SP	Foi identificado uma não conformidade	Gestor	Apuração Concluída	10/20/2022 18:01	10/25/2022 18:01	local	N	N	S	Procedente
identificado	teste12@teste.com	Bruno	(11) 11111-1125	Não Conformidade (Procedimentos Internos)	Matriz/SP	Foi identificado uma não conformidade	Gestor	Apuração Concluída	10/21/2022 10:17	10/25/2022 18:01	integracao	N	N	S	Procedente
identificado	teste123@teste.com	Bryan	(11) 11111-1126	Fraude	São Paulo/SP	Houve a detecção de uma fraude	Gestor	Apuração não iniciada	10/21/2022 17:11		local	N	N	N	Procedente
identificado	teste@teste.com	Caio	(11) 11111-1127	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	11/01/2022 11:07	11/30/2022  11:07	integracao	N	N	S	Procedente
identificado	teste1@teste.com	Carolina	(11) 11111-1128	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Supervisor	Apuração Concluída	11/01/2022 11:17	11/30/2022  11:07	integracao	N	N	S	Procedente
